stage,match_no,group,home_team,away_team,p_pairing,p_home,p_draw,p_away,ci_home_lo,ci_home_hi,ci_draw_lo,ci_draw_hi,ci_away_lo,ci_away_hi,cal_home,cal_draw,cal_away
group,,F,Netherlands,Tunisia,1.0,0.6997,0.2093,0.0911,0.4145,0.9034,0.0772,0.3578,0.0167,0.2607,0.7979,0.1344,0.0677
group,,F,Netherlands,Sweden,1.0,0.6674,0.191,0.1415,0.3518,0.8996,0.0686,0.3038,0.0276,0.3933,0.6707,0.22,0.1092
group,,F,Japan,Tunisia,1.0,0.6707,0.2624,0.0669,0.4151,0.8698,0.1085,0.4396,0.012,0.2064,0.7123,0.2013,0.0863
group,,F,Japan,Sweden,1.0,0.6712,0.2319,0.0969,0.3415,0.8953,0.0837,0.3671,0.0144,0.341,0.6615,0.2082,0.1303
group,,F,Tunisia,Sweden,1.0,0.2406,0.27,0.4894,0.0686,0.5099,0.1369,0.3744,0.2122,0.7837,0.2552,0.2839,0.4608
group,,G,Belgium,Iran,1.0,0.5204,0.2754,0.2042,0.2112,0.8298,0.1146,0.4026,0.0442,0.5027,0.5861,0.2588,0.1551
group,,G,Belgium,Egypt,1.0,0.5372,0.3021,0.1607,0.2834,0.7868,0.1545,0.4228,0.042,0.3671,0.5743,0.2561,0.1696
group,,G,Belgium,New Zealand,1.0,0.8068,0.146,0.0473,0.5392,0.9548,0.0371,0.3131,0.0068,0.1757,0.8103,0.1358,0.0538
group,,G,Iran,Egypt,1.0,0.3663,0.3732,0.2605,0.1549,0.6198,0.2329,0.4907,0.0881,0.5293,0.3832,0.2928,0.324
group,,G,Iran,New Zealand,1.0,0.6365,0.2557,0.1078,0.3396,0.8741,0.1045,0.4081,0.0205,0.3233,0.6821,0.2146,0.1033
group,,G,Egypt,New Zealand,1.0,0.5074,0.3537,0.1389,0.2642,0.7416,0.1949,0.4861,0.0412,0.3194,0.6021,0.2646,0.1333
group,,H,Spain,Uruguay,1.0,0.5016,0.3225,0.1759,0.2118,0.793,0.1539,0.4472,0.0375,0.4517,0.6528,0.2226,0.1246
group,,H,Spain,Saudi Arabia,1.0,0.8178,0.1376,0.0446,0.5622,0.9532,0.0376,0.2995,0.0063,0.1497,0.8773,0.1012,0.0215
group,,H,Spain,Cape Verde,1.0,0.8882,0.0869,0.025,0.651,0.9848,0.0127,0.2413,0.0021,0.1097,0.8978,0.0831,0.0192
group,,H,Uruguay,Saudi Arabia,1.0,0.5425,0.333,0.1245,0.2836,0.8033,0.1648,0.4864,0.0299,0.3138,0.7442,0.1767,0.0792
group,,H,Uruguay,Cape Verde,1.0,0.6333,0.2749,0.0918,0.326,0.8957,0.0838,0.4518,0.0159,0.2805,0.7827,0.1494,0.0679
group,,H,Saudi Arabia,Cape Verde,1.0,0.3998,0.3371,0.2631,0.1795,0.6837,0.2013,0.4376,0.0896,0.5121,0.3902,0.2846,0.3252
group,,I,France,Senegal,1.0,0.4722,0.2859,0.2418,0.2124,0.7737,0.1464,0.3922,0.0694,0.5067,0.5677,0.2756,0.1567
group,,I,France,Norway,1.0,0.3443,0.2967,0.359,0.1188,0.6497,0.1701,0.3929,0.1326,0.6617,0.4068,0.3018,0.2913
group,,I,France,Iraq,1.0,0.7056,0.2153,0.0791,0.4366,0.9116,0.0722,0.3954,0.0113,0.2249,0.8004,0.1309,0.0688
group,,I,Senegal,Norway,1.0,0.2344,0.2927,0.4729,0.0666,0.5214,0.1508,0.4054,0.2032,0.779,0.2388,0.2598,0.5014
group,,I,Senegal,Iraq,1.0,0.5792,0.2918,0.129,0.3298,0.8142,0.1422,0.4223,0.0342,0.2998,0.6741,0.2018,0.1241
group,,I,Norway,Iraq,1.0,0.7007,0.2216,0.0777,0.409,0.9061,0.0786,0.4041,0.0115,0.2256,0.7822,0.1501,0.0676
group,,J,Argentina,Austria,1.0,0.5059,0.3706,0.1235,0.2191,0.8005,0.1564,0.5457,0.0224,0.3628,0.6666,0.2329,0.1006
group,,J,Argentina,Algeria,1.0,0.4914,0.3713,0.1373,0.2257,0.7639,0.1825,0.5283,0.03,0.392,0.6638,0.2348,0.1014
group,,J,Argentina,Jordan,1.0,0.8527,0.1223,0.025,0.6159,0.9653,0.0314,0.27,0.0032,0.1148,0.8449,0.1083,0.0468
group,,J,Austria,Algeria,1.0,0.2834,0.3818,0.3347,0.0992,0.5725,0.2234,0.498,0.1272,0.638,0.3287,0.3111,0.3603
group,,J,Austria,Jordan,1.0,0.6641,0.2309,0.105,0.3853,0.882,0.0824,0.3608,0.0226,0.3075,0.6858,0.1866,0.1277
group,,J,Algeria,Jordan,1.0,0.71,0.2013,0.0887,0.4632,0.8857,0.0871,0.3379,0.0181,0.2472,0.7231,0.1548,0.1221
group,,K,Portugal,Colombia,1.0,0.3947,0.2975,0.3078,0.1556,0.6992,0.1664,0.3938,0.1003,0.607,0.43,0.2913,0.2787
group,,K,Portugal,Uzbekistan,1.0,0.6437,0.2513,0.105,0.342,0.8809,0.0808,0.3962,0.0227,0.2986,0.7851,0.1489,0.066
group,,K,Portugal,DR Congo,1.0,0.4979,0.3455,0.1566,0.2455,0.7685,0.173,0.4892,0.0402,0.3507,0.6725,0.2447,0.0828
group,,K,Colombia,Uzbekistan,1.0,0.6247,0.2519,0.1234,0.324,0.8669,0.0983,0.3928,0.0248,0.3235,0.705,0.2112,0.0838
group,,K,Colombia,DR Congo,1.0,0.4788,0.3398,0.1815,0.2238,0.7588,0.1772,0.4765,0.0502,0.3988,0.6463,0.2383,0.1154
group,,K,Uzbekistan,DR Congo,1.0,0.2139,0.4407,0.3454,0.0747,0.4424,0.2852,0.5664,0.1527,0.5942,0.2958,0.3069,0.3973
group,,L,England,Croatia,1.0,0.4931,0.331,0.1759,0.2294,0.7541,0.1783,0.4558,0.0444,0.4447,0.6031,0.2672,0.1297
group,,L,England,Panama,1.0,0.787,0.1667,0.0463,0.5269,0.9389,0.0513,0.3253,0.0069,0.1789,0.8209,0.1266,0.0525
group,,L,England,Ghana,1.0,0.7152,0.2222,0.0627,0.4344,0.909,0.0791,0.3824,0.0096,0.2162,0.7959,0.1724,0.0317
group,,L,Croatia,Panama,1.0,0.6826,0.2081,0.1093,0.3936,0.8947,0.0754,0.3442,0.0249,0.2861,0.666,0.2045,0.1296
group,,L,Croatia,Ghana,1.0,0.6066,0.2572,0.1362,0.316,0.8562,0.108,0.392,0.0317,0.3455,0.6509,0.2148,0.1343
group,,L,Panama,Ghana,1.0,0.3023,0.3167,0.381,0.1136,0.5882,0.1943,0.41,0.154,0.668,0.3458,0.301,0.3532
R32,73.0,,South Africa,Canada,1.0,0.0994,0.2662,0.6344,0.0191,0.2683,0.0982,0.4328,0.347,0.8826,0.144,0.2051,0.6508
R32,74.0,,Germany,Bosnia and Herzegovina,1.0,0.7442,0.1743,0.0815,0.4594,0.9317,0.052,0.3379,0.0118,0.2538,0.7586,0.1796,0.0617
R32,75.0,,Netherlands,Morocco,1.0,0.266,0.3727,0.3613,0.0957,0.5276,0.24,0.4804,0.1436,0.6153,0.3666,0.326,0.3075
R32,76.0,,Brazil,Japan,1.0,0.2634,0.3309,0.4057,0.0743,0.5856,0.1869,0.4345,0.1483,0.6857,0.425,0.3113,0.2638
R32,77.0,,France,Paraguay,1.0,0.4377,0.3149,0.2474,0.1621,0.7516,0.1592,0.4233,0.0561,0.5653,0.5554,0.258,0.1866
R32,78.0,,Ivory Coast,Norway,1.0,0.2065,0.3347,0.4589,0.0544,0.4562,0.1687,0.4557,0.2046,0.7489,0.2058,0.2376,0.5566
R32,79.0,,Mexico,Ecuador,1.0,0.2659,0.4224,0.3117,0.0976,0.521,0.2735,0.5332,0.1324,0.5486,0.3206,0.3262,0.3533
R32,80.0,,England,DR Congo,1.0,0.4788,0.3938,0.1274,0.2359,0.7525,0.2024,0.5528,0.0302,0.3228,0.6786,0.2386,0.0828
R32,81.0,,United States,Algeria,1.0,0.1952,0.265,0.5398,0.0586,0.455,0.1494,0.3577,0.2883,0.7756,0.3086,0.2605,0.431
R32,82.0,,Belgium,Senegal,1.0,0.4668,0.2862,0.247,0.1954,0.7687,0.154,0.3861,0.0726,0.5306,0.4813,0.2632,0.2555
R32,83.0,,Portugal,Croatia,1.0,0.491,0.2904,0.2187,0.2418,0.768,0.1572,0.3984,0.0646,0.4755,0.5464,0.2571,0.1966
R32,84.0,,Spain,Austria,1.0,0.4539,0.3204,0.2257,0.1823,0.7706,0.1521,0.4486,0.0535,0.5023,0.6494,0.2435,0.107
R32,85.0,,Switzerland,Sweden,1.0,0.6475,0.1982,0.1543,0.3551,0.8803,0.0826,0.2958,0.0348,0.3953,0.6547,0.2217,0.1237
R32,86.0,,Argentina,Cape Verde,1.0,0.8819,0.1029,0.0152,0.648,0.98,0.0186,0.2751,0.001,0.0788,0.8786,0.1,0.0215
R32,87.0,,Colombia,Ghana,1.0,0.7239,0.1904,0.0857,0.443,0.927,0.0583,0.3332,0.0136,0.2533,0.755,0.1937,0.0513
R32,88.0,,Australia,Egypt,1.0,0.3552,0.3996,0.2452,0.1613,0.6106,0.2564,0.5137,0.0906,0.4688,0.3518,0.2963,0.3519
R16,89.0,,Germany,France,0.6165,0.3878,0.2727,0.3395,0.1485,0.6928,0.1595,0.3659,0.1178,0.6384,0.3188,0.2642,0.417
R16,89.0,,Germany,Paraguay,0.2649,0.4735,0.2931,0.2334,0.1838,0.7798,0.1377,0.3985,0.0514,0.5489,0.5456,0.2859,0.1684
R16,89.0,,Bosnia and Herzegovina,France,0.0833,0.0936,0.2021,0.7043,0.0182,0.2778,0.0569,0.3454,0.4034,0.9202,0.0698,0.1553,0.775
R16,90.0,,Canada,Netherlands,0.5215,0.272,0.3183,0.4097,0.0887,0.5523,0.1849,0.4268,0.1643,0.716,0.2504,0.2498,0.4998
R16,90.0,,Canada,Morocco,0.4785,0.2007,0.4169,0.3823,0.0726,0.4282,0.2612,0.5434,0.171,0.6322,0.2502,0.3037,0.4461
R16,91.0,,Brazil,Norway,0.3941,0.3731,0.2703,0.3566,0.1224,0.71,0.1458,0.369,0.1224,0.6877,0.4547,0.283,0.2623
R16,91.0,,Japan,Norway,0.2979,0.386,0.3676,0.2463,0.1513,0.6774,0.2053,0.4856,0.0667,0.5665,0.3465,0.3089,0.3446
R16,91.0,,Brazil,Ivory Coast,0.1746,0.4987,0.2948,0.2064,0.2234,0.7882,0.1413,0.4266,0.0535,0.4495,0.5953,0.2655,0.1392
R16,92.0,,Ecuador,England,0.4259,0.2468,0.4603,0.2929,0.0854,0.5393,0.2833,0.6075,0.1092,0.5747,0.2442,0.3302,0.4257
R16,92.0,,Mexico,England,0.3919,0.2558,0.3772,0.367,0.083,0.5558,0.2231,0.4889,0.144,0.6266,0.208,0.2801,0.5119
R16,92.0,,Ecuador,DR Congo,0.0942,0.4033,0.4619,0.1348,0.192,0.6828,0.2552,0.6182,0.0382,0.3083,0.6493,0.2347,0.116
R16,93.0,,Portugal,Spain,0.544,0.2887,0.2993,0.412,0.0924,0.5805,0.1701,0.4021,0.164,0.7053,0.22,0.2299,0.5501
R16,93.0,,Croatia,Spain,0.2414,0.1741,0.2574,0.5685,0.0425,0.4231,0.1179,0.3763,0.2909,0.8276,0.1804,0.2217,0.5979
R16,93.0,,Portugal,Austria,0.148,0.3863,0.3447,0.269,0.1451,0.7036,0.1855,0.464,0.0781,0.5414,0.516,0.2646,0.2194
R16,94.0,,Algeria,Belgium,0.3635,0.3202,0.3244,0.3554,0.1044,0.6113,0.1818,0.4337,0.1352,0.6655,0.3014,0.3273,0.3712
R16,94.0,,United States,Belgium,0.2612,0.1803,0.2116,0.608,0.0461,0.4473,0.0977,0.2998,0.3246,0.8496,0.271,0.2254,0.5036
R16,94.0,,Algeria,Senegal,0.2198,0.4107,0.3384,0.2509,0.1865,0.677,0.2111,0.4409,0.0888,0.5026,0.4177,0.3508,0.2315
R16,95.0,,Argentina,Australia,0.4818,0.6026,0.3111,0.0863,0.319,0.8371,0.1309,0.4856,0.0144,0.2803,0.7731,0.1546,0.0723
R16,95.0,,Argentina,Egypt,0.4726,0.6209,0.3115,0.0676,0.3635,0.833,0.143,0.4925,0.0115,0.2142,0.7079,0.2161,0.0759
R16,95.0,,Cape Verde,Egypt,0.0228,0.1367,0.32,0.5433,0.0427,0.3111,0.1641,0.4564,0.2982,0.793,0.2098,0.258,0.5322
R16,96.0,,Switzerland,Colombia,0.7046,0.3671,0.2853,0.3476,0.1283,0.6766,0.1639,0.377,0.125,0.6521,0.4023,0.3568,0.2409
R16,96.0,,Sweden,Colombia,0.1811,0.161,0.2005,0.6385,0.0317,0.4397,0.0707,0.3001,0.3377,0.8938,0.2391,0.1989,0.562
R16,96.0,,Switzerland,Ghana,0.0916,0.7301,0.1877,0.0822,0.4225,0.9203,0.0575,0.3423,0.0148,0.2524,0.7204,0.1848,0.0947
QF,97.0,,Germany,Canada,0.1763,0.4484,0.2974,0.2542,0.1855,0.7455,0.1592,0.4001,0.0734,0.5434,0.5187,0.2917,0.1896
QF,97.0,,France,Canada,0.1556,0.4141,0.3179,0.268,0.169,0.6996,0.1831,0.425,0.0828,0.5454,0.5869,0.2751,0.138
QF,97.0,,Germany,Netherlands,0.1542,0.3934,0.272,0.3345,0.1407,0.7052,0.1526,0.363,0.1175,0.6395,0.4144,0.2775,0.3081
