stage,group,home_team,away_team,p_home,p_draw,p_away,rank,score,prob
group,G,Iran,Egypt,0.3663,0.3732,0.2605,4,0-1,0.1191
group,G,Iran,Egypt,0.3663,0.3732,0.2605,5,2-0,0.0816
group,G,Iran,New Zealand,0.6365,0.2557,0.1078,1,1-0,0.1642
group,G,Iran,New Zealand,0.6365,0.2557,0.1078,2,2-0,0.1494
group,G,Iran,New Zealand,0.6365,0.2557,0.1078,3,0-0,0.1164
group,G,Iran,New Zealand,0.6365,0.2557,0.1078,4,1-1,0.1125
group,G,Iran,New Zealand,0.6365,0.2557,0.1078,5,2-1,0.0849
group,G,Egypt,New Zealand,0.5074,0.3537,0.1389,1,0-0,0.2142
group,G,Egypt,New Zealand,0.5074,0.3537,0.1389,2,1-0,0.2103
group,G,Egypt,New Zealand,0.5074,0.3537,0.1389,3,2-0,0.1289
group,G,Egypt,New Zealand,0.5074,0.3537,0.1389,4,1-1,0.1238
group,G,Egypt,New Zealand,0.5074,0.3537,0.1389,5,0-1,0.079
group,H,Spain,Uruguay,0.5016,0.3225,0.1759,1,1-0,0.1707
group,H,Spain,Uruguay,0.5016,0.3225,0.1759,2,0-0,0.1592
group,H,Spain,Uruguay,0.5016,0.3225,0.1759,3,1-1,0.1355
group,H,Spain,Uruguay,0.5016,0.3225,0.1759,4,2-0,0.1184
group,H,Spain,Uruguay,0.5016,0.3225,0.1759,5,0-1,0.0802
group,H,Spain,Saudi Arabia,0.8178,0.1376,0.0446,1,2-0,0.1513
group,H,Spain,Saudi Arabia,0.8178,0.1376,0.0446,2,3-0,0.1316
group,H,Spain,Saudi Arabia,0.8178,0.1376,0.0446,3,1-0,0.1098
group,H,Spain,Saudi Arabia,0.8178,0.1376,0.0446,4,4-0,0.0859
group,H,Spain,Saudi Arabia,0.8178,0.1376,0.0446,5,2-1,0.0763
group,H,Spain,Cape Verde,0.8882,0.0869,0.025,1,3-0,0.1361
group,H,Spain,Cape Verde,0.8882,0.0869,0.025,2,2-0,0.1253
group,H,Spain,Cape Verde,0.8882,0.0869,0.025,3,4-0,0.1109
group,H,Spain,Cape Verde,0.8882,0.0869,0.025,4,1-0,0.073
group,H,Spain,Cape Verde,0.8882,0.0869,0.025,5,5-0,0.0723
group,H,Uruguay,Saudi Arabia,0.5425,0.333,0.1245,1,1-0,0.2082
group,H,Uruguay,Saudi Arabia,0.5425,0.333,0.1245,2,0-0,0.1955
group,H,Uruguay,Saudi Arabia,0.5425,0.333,0.1245,3,2-0,0.1394
group,H,Uruguay,Saudi Arabia,0.5425,0.333,0.1245,4,1-1,0.121
group,H,Uruguay,Saudi Arabia,0.5425,0.333,0.1245,5,0-1,0.069
group,H,Uruguay,Cape Verde,0.6333,0.2749,0.0918,1,1-0,0.1943
group,H,Uruguay,Cape Verde,0.6333,0.2749,0.0918,2,2-0,0.1618
group,H,Uruguay,Cape Verde,0.6333,0.2749,0.0918,3,0-0,0.1478
group,H,Uruguay,Cape Verde,0.6333,0.2749,0.0918,4,1-1,0.1088
group,H,Uruguay,Cape Verde,0.6333,0.2749,0.0918,5,3-0,0.0839
group,H,Saudi Arabia,Cape Verde,0.3998,0.3371,0.2631,1,1-1,0.1545
group,H,Saudi Arabia,Cape Verde,0.3998,0.3371,0.2631,2,0-0,0.1408
group,H,Saudi Arabia,Cape Verde,0.3998,0.3371,0.2631,3,1-0,0.1208
group,H,Saudi Arabia,Cape Verde,0.3998,0.3371,0.2631,4,0-1,0.0888
group,H,Saudi Arabia,Cape Verde,0.3998,0.3371,0.2631,5,2-0,0.0855
group,I,France,Senegal,0.4722,0.2859,0.2418,1,1-1,0.1368
group,I,France,Senegal,0.4722,0.2859,0.2418,2,2-1,0.0944
group,I,France,Senegal,0.4722,0.2859,0.2418,3,1-0,0.0928
group,I,France,Senegal,0.4722,0.2859,0.2418,4,0-0,0.0873
group,I,France,Senegal,0.4722,0.2859,0.2418,5,2-0,0.0873
group,I,France,Norway,0.3443,0.2967,0.359,1,1-1,0.1416
group,I,France,Norway,0.3443,0.2967,0.359,2,0-0,0.0855
group,I,France,Norway,0.3443,0.2967,0.359,3,1-2,0.0839
group,I,France,Norway,0.3443,0.2967,0.359,4,2-1,0.0819
group,I,France,Norway,0.3443,0.2967,0.359,5,0-1,0.0703
group,I,France,Iraq,0.7056,0.2153,0.0791,1,2-0,0.1634
group,I,France,Iraq,0.7056,0.2153,0.0791,2,1-0,0.1615
